INVENTARIOS,JUNIO 2024,,,,,,,,,,,
fecha,insumo,tipo,cantidad,primary_units,cantidad,secondary_units,proveedor_1,proveedor_2,purchase_date,production_date,costo_unitario_iva_inc, costo_total 
7/1/2024,aceite de ricino,materia prima,2.6,kg,,,quimifast y cia sas,,01/05/2024,," $ 19,500.00 "," $ 50,700.00 "
7/1/2024,acido citrico anhidro,materia prima,0.5,kg,,,protokimica,,01/05/2024,,, $ -   
7/1/2024,acido sulfonico lineal,materia prima,4.597,kg,,,quimifast y cia sas,,01/05/2024,," $ 12,850.00 "," $ 59,071.45 "
7/1/2024,alcohol cetilico,materia prima,1,kg,,,quimifast y cia sas,,01/05/2024,,, $ -   
7/1/2024,alcohol estearilico,materia prima,1,kg,,,quimifast y cia sas,,01/05/2024,,, $ -   
7/1/2024,anilina vegetal rojo 3x,materia prima,0.03,kg,,,quimicos el arriero,,6/29/2024,," $ 130,000.00 "," $ 3,900.00 "
7/1/2024,base granular,producto en proceso,0,kg,,,living antioquia,,,05/06/2024,, $ -   
7/1/2024,base hidroalcoholica de perfumeria,materia prima,4,L,,,bouquet aromas y fragancias,,01/05/2024,,, $ -   
7/1/2024,cloruro de behetrimonio,materia prima,1,kg,,,quimifast y cia sas,,01/05/2024,,, $ -   
7/10/2024,cloruro de sodio,materia prima,2,kg,,,comercial,,7/9/2024,,, $ -   
7/1/2024,cocoamida dea,materia prima,0.5,L,,,protokimica,,01/05/2024,,, $ -   
7/1/2024,extracto de avena,materia prima,1,kg,,,quimifast y cia sas,,01/05/2024,,, $ -   
7/1/2024,glicerina USP,materia prima,1,kg,0.5,L,quimifast y cia sas,protokimica,01/05/2024,,, $ -   
7/1/2024,lauril eter sulfato de sodio al 28%,materia prima,0.5,L,,,protokimica,,01/05/2024,,, $ -   
7/1/2024,soda caustica en escamas al 99%,materia prima,1.9165,kg,,,antoquena de quimicos,,01/05/2024,," $ 4,000.00 "," $ 7,666.00 "
7/1/2024,sorbato de potasio,materia prima,1,kg,,,quimifast y cia sas,,01/05/2024,,, $ -   
7/1/2024,trietanolamina al 85%,materia prima,0.96623,kg,,,quimifast y cia sas,,01/05/2024,," $ 17,400.00 "," $ 16,812.40 "
7/1/2024,tween 80,materia prima,0.25,L,,,protokimica,,01/05/2024,,, $ -   
,,,,,,,,,,,,
7/10/2024,jabon desengrasante granel,producto en proceso,0,kg,,,living antioquia,,,26/06/2024," $ 2,751.00 ", $ -   
,,,,,,,,,,,,
7/10/2024,envase 340mL + tapa push pull R28,envase + tapa,89,un,,,masterplast sas,,7/3/2024,, $ 991.00 ," $ 88,199.00 "
7/10/2024,etiquetas jabon desengrasante 340mL,etiquetas,981,un,,,prisma artes graficas,,6/29/2024,, $ 390.00 ," $ 382,590.00 "
7/10/2024,etiquetas jabon desengrasante 4L,etiquetas,981,un,,,prisma artes graficas,,6/29/2024,, $ 360.00 ," $ 353,160.00 "
,,,,,,,,,,,,
7/10/2024,jabon desengrasante 340mL,producto terimado,13,un,,,living antioquia,,,," $ 2,751.00 "," $ 35,763.00 "
,,,,,,,,,,,,
total,,,,,,,,,,,," $ 997,861.85 "
